2023-10-31 21:09:42,265 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Configure stats pid to 321518
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Loading settings from /root/subnets/exploitproof-net/wandb/settings
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'bittensor-subnet-template/neurons/validator.py', 'program_abspath': '/root/subnets/exploitproof-net/bittensor-subnet-template/neurons/validator.py', 'program': '/root/subnets/exploitproof-net/bittensor-subnet-template/neurons/validator.py'}
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:_log_setup():528] Logging user logs to /root/subnets/exploitproof-net/wandb/run-20231031_210942-nxfi88ft/logs/debug.log
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:_log_setup():529] Logging internal logs to /root/subnets/exploitproof-net/wandb/run-20231031_210942-nxfi88ft/logs/debug-internal.log
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:init():568] calling init triggers
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:init():618] starting backend
2023-10-31 21:09:42,266 INFO    MainThread:321518 [wandb_init.py:init():622] setting up manager
2023-10-31 21:09:42,270 INFO    MainThread:321518 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-31 21:09:42,271 INFO    MainThread:321518 [wandb_init.py:init():628] backend started and connected
2023-10-31 21:09:42,277 INFO    MainThread:321518 [wandb_init.py:init():720] updated telemetry
2023-10-31 21:09:42,281 INFO    MainThread:321518 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-31 21:09:42,752 INFO    MainThread:321518 [wandb_run.py:_on_init():2220] communicating current version
2023-10-31 21:09:42,895 INFO    MainThread:321518 [wandb_run.py:_on_init():2229] got version response 
2023-10-31 21:09:42,895 INFO    MainThread:321518 [wandb_init.py:init():804] starting run threads in backend
2023-10-31 21:09:42,925 INFO    MainThread:321518 [wandb_run.py:_console_start():2199] atexit reg
2023-10-31 21:09:42,925 INFO    MainThread:321518 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-31 21:09:42,925 INFO    MainThread:321518 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-31 21:09:42,925 INFO    MainThread:321518 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-31 21:09:42,925 INFO    MainThread:321518 [wandb_init.py:init():845] run started, returning control to user process
